"","prey","svspp","seacat","year","CMT","lci.CMT","uci.CMT","mean.cb","lci.cb","uci.cb"
"1036","all",23,"SPRING",1979,1187.99603508351,0.130614991182282,7037.15667622938,0.0407953598008159,4.32575306101806e-06,0.273187034944942
"1037","all",23,"SPRING",1980,1260.27252149213,0.167852873775098,7539.32682681681,0.0215360108170344,2.31965879969241e-06,0.114402802246965
"1038","all",23,"SPRING",1981,NA,0,0,NA,0,0
"1039","all",23,"SPRING",1982,17522.8764545001,7.94148889364277e-05,80169.7793356116,0.216749378524941,1.04439026303485e-09,1.43270134930054
"1040","all",23,"SPRING",1983,0,0,0,0,0,0
"1041","all",23,"SPRING",1984,3050.64603447342,0.0201350315896468,17108.9249817393,0.0176629333591635,1.27823036141838e-07,0.0863020517351386
"1042","all",23,"SPRING",1985,23048.891536925,0.0603989065037235,192351.97365696,0.0924922730041333,2.10656764630725e-07,0.751094329280787
"1043","all",23,"SPRING",1986,17388.3143656739,0.0887268729162382,87505.7992547114,0.148542113780955,8.56915122604649e-07,0.673257895744818
"1044","all",23,"SPRING",1987,18118.615440535,1.44366913778699,124783.14291883,0.106683393401665,7.00920855921221e-06,0.606105981800257
"1045","all",23,"SPRING",1988,7543.77774932147,1.40596767646619e-15,75703.8333215312,0.0456221197390576,9.84373161891344e-21,0.391059833955966
"1046","all",23,"SPRING",1989,12067.0344009087,0.739871721273809,83301.6000813189,0.123245168742089,1.03149175317954e-05,0.820704459025613
"1047","all",23,"SPRING",1990,14613.6621452438,0.00481226515615167,91529.9487608787,0.161426089930202,6.2533370819066e-08,0.999085253632952
"1048","all",23,"SPRING",1991,12243.0210096643,0.358822143890857,84391.8026119585,0.138287749820645,4.61768125316486e-06,1.00599290491798
"1049","all",23,"SPRING",1992,15303.5062661228,7.74411920504246e-05,148415.901839172,0.195909029765249,8.33138632257522e-10,2.11114081641587
"1050","all",23,"SPRING",1993,21180.7988546522,8.45939066952349,150490.938987891,0.322608068324383,0.000142228697751747,2.13872170157929
"1051","all",23,"SPRING",1994,8772.47932723515,7.24277879516284,62484.6550919106,0.36439807782213,0.000304367974976922,2.20067380332004
"1052","all",23,"SPRING",1995,6782.86117439485,0.652500263611579,40379.8528997553,0.241542714557494,2.16791273963312e-05,1.31685338137799
"1053","all",23,"SPRING",1996,9064.68641632244,0.0201367873642638,59990.4674452058,0.143192870194833,3.09524806797437e-07,0.848613370593102
"1054","all",23,"SPRING",1997,8108.09189381159,0.469346253684503,46148.7381076086,0.184206727492631,1.19456411545849e-05,1.10775816036759
"1055","all",23,"SPRING",1998,3292.13589886676,0.000392575138458483,26288.4179510581,0.155413419557633,1.58836368857779e-08,1.35655392898334
"1056","all",23,"SPRING",1999,7680.30418932657,0.0616728624945464,31501.3640940152,0.228679364602266,1.45076964680391e-06,1.15011192815233
"1057","all",23,"SPRING",2000,21362.4983010473,0.0602033369034568,160928.600834315,0.306568572425135,1.16722872642454e-06,2.19732511028761
"1058","all",23,"SPRING",2001,4894.94536030922,9.60375050517979e-11,42413.5081085296,0.116348470203789,2.08676474274002e-15,1.021599225909
"1059","all",23,"SPRING",2002,4684.97382097316,0.452608567029006,24003.2974403829,0.117068829538104,8.22536466433711e-06,0.550713032352875
"1060","all",23,"SPRING",2003,5704.66916810913,0.126507124019149,27208.9008180435,0.139000226952067,4.62875428194473e-06,0.90710185771593
"1061","all",23,"SPRING",2004,19416.0264941346,24.9530676045515,96640.4734550452,0.531284567292665,0.000789181048394814,2.65204177842032
"1062","all",23,"SPRING",2005,3430.23966675109,0.00011870447480633,36588.8570178076,0.131468112573948,4.12516694716452e-09,1.55666957808966
"1063","all",23,"SPRING",2006,14743.8872296511,2.58379720998048e-15,164737.877101993,0.439222177390452,7.27722254589896e-20,3.98635132225065
